,Week,Compartment,Treat,Treatment,Plottime,Sampletime,Compartmentyear,Group,Groupyear,Groupyear1
TP8Z4,8,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-8,Rhizosphere2016-Post_flowering_drought-8,Rhizosphere_Y16P1-Post_flowering_drought-8
TP8Z3,8,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-8,Rhizosphere2016-Post_flowering_drought-8,Rhizosphere_Y16P1-Post_flowering_drought-8
TP8Z22,8,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-8,Rhizosphere2016-Post_flowering_drought-8,Rhizosphere_Y16P1-Post_flowering_drought-8
TP8Z21,8,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-8,Rhizosphere2016-Post_flowering_drought-8,Rhizosphere_Y16P1-Post_flowering_drought-8
TP8Z16,8,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-8,Rhizosphere2016-Post_flowering_drought-8,Rhizosphere_Y16P1-Post_flowering_drought-8
TP8Z15,8,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-8,Rhizosphere2016-Post_flowering_drought-8,Rhizosphere_Y16P1-Post_flowering_drought-8
TP9Z4,9,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-9,Rhizosphere2016-Post_flowering_drought-9,Rhizosphere_Y16P1-Post_flowering_drought-9
TP9Z3,9,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-9,Rhizosphere2016-Post_flowering_drought-9,Rhizosphere_Y16P1-Post_flowering_drought-9
TP9Z22,9,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-9,Rhizosphere2016-Post_flowering_drought-9,Rhizosphere_Y16P1-Post_flowering_drought-9
TP9Z21,9,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-9,Rhizosphere2016-Post_flowering_drought-9,Rhizosphere_Y16P1-Post_flowering_drought-9
TP9Z16,9,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-9,Rhizosphere2016-Post_flowering_drought-9,Rhizosphere_Y16P1-Post_flowering_drought-9
TP9Z15,9,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-9,Rhizosphere2016-Post_flowering_drought-9,Rhizosphere_Y16P1-Post_flowering_drought-9
TP10Z16,10,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-10,Rhizosphere2016-Post_flowering_drought-10,Rhizosphere_Y16P1-Post_flowering_drought-10
TP10Z15,10,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-10,Rhizosphere2016-Post_flowering_drought-10,Rhizosphere_Y16P1-Post_flowering_drought-10
TP10Z4,10,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-10,Rhizosphere2016-Post_flowering_drought-10,Rhizosphere_Y16P1-Post_flowering_drought-10
TP10Z3,10,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-10,Rhizosphere2016-Post_flowering_drought-10,Rhizosphere_Y16P1-Post_flowering_drought-10
TP10Z22,10,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-10,Rhizosphere2016-Post_flowering_drought-10,Rhizosphere_Y16P1-Post_flowering_drought-10
TP10Z21,10,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-10,Rhizosphere2016-Post_flowering_drought-10,Rhizosphere_Y16P1-Post_flowering_drought-10
TP11Z21,11,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-11,Rhizosphere2016-Post_flowering_drought-11,Rhizosphere_Y16P1-Post_flowering_drought-11
TP11Z4,11,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-11,Rhizosphere2016-Post_flowering_drought-11,Rhizosphere_Y16P1-Post_flowering_drought-11
TP11Z3,11,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-11,Rhizosphere2016-Post_flowering_drought-11,Rhizosphere_Y16P1-Post_flowering_drought-11
TP11Z22,11,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-11,Rhizosphere2016-Post_flowering_drought-11,Rhizosphere_Y16P1-Post_flowering_drought-11
TP11Z16,11,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-11,Rhizosphere2016-Post_flowering_drought-11,Rhizosphere_Y16P1-Post_flowering_drought-11
TP11Z15,11,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-11,Rhizosphere2016-Post_flowering_drought-11,Rhizosphere_Y16P1-Post_flowering_drought-11
TP12Z4,12,Rhizosphere,Post_flowering_drought,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Post_flowering_drought-12,Rhizosphere2016-Post_flowering_drought-12,Rhizosphere_Y16P1-Post_flowering_drought-12
