,Metagenome_count,Metatrans_count,Pangenome,A. persicinum_MAG,A. persicinum3.15288,A. persicinum3.1556,A. persicinum3.1579,A. persicinum3.2854,A. persicinum3.3503,A. persicinum3.2857,A. persicinum3.2858,A. persicinum3.2859,A. persicinum3.2862
C510,73,1,1,1,1,1,1,1,1,1,1,1,1
C511,79,97,1,1,1,1,1,1,1,1,1,1,1
C512,73.025,348,1,1,1,1,1,1,1,1,1,1,1
C513,121.893,273,1,1,1,1,1,1,1,1,1,1,1
C514,105,49,1,1,1,1,1,1,1,1,1,1,1
C515,46,1,1,1,1,1,1,1,1,1,1,1,1
C516,106,51,1,1,1,1,1,1,1,1,1,1,1
C517,120,179,1,1,1,1,1,1,1,1,1,1,1
C520,173,1660.856,1,1,1,1,1,1,1,1,1,1,1
C521,40,145,1,1,1,1,1,1,1,1,1,1,1
C522,74,54,1,1,1,1,1,1,1,1,1,1,1
C523,49,46,1,1,1,1,1,1,1,1,1,1,1
C524,40,13,1,1,1,1,1,1,1,1,1,1,1
C525,148,114,1,1,1,1,1,1,1,1,1,1,1
C526,44,97,1,1,1,1,1,1,1,1,1,1,1
C527,85,70,1,1,1,1,1,1,1,1,1,1,1
C528,151,121,1,1,1,1,1,1,1,1,1,1,1
C529,92,24,1,1,1,1,1,1,1,1,1,1,1
C530,89,8,1,1,1,1,1,1,1,1,1,1,1
C531,79.716,74,1,1,1,1,1,1,1,1,1,1,1
C534,30,1,1,1,1,1,1,1,1,1,1,1,1
C535,103.078,106,1,1,1,1,1,1,1,1,1,1,1
C537,31,5,1,1,1,1,1,1,1,1,1,1,1
C538,20,20,1,1,1,1,1,1,1,1,1,1,1
C539,47.687,349,1,1,1,1,1,1,1,1,1,1,1
C540,126,382,1,1,1,1,1,1,1,1,1,1,1
C541,55,152.803,1,1,1,1,1,1,1,1,1,1,1
C543,1253,13,1,1,1,1,1,1,1,1,1,1,1
C544,73,76,1,1,1,1,1,1,1,1,1,1,1
C546,40,81,1,1,1,1,1,1,1,1,1,1,1
C547,33,134,1,1,1,1,1,1,1,1,1,1,1
C548,36,15,1,1,1,1,1,1,1,1,1,1,1
C550,90.724,415,1,1,1,1,1,1,1,1,1,1,1
C551,1682,51,1,1,1,1,1,1,1,1,1,1,1
C552,127,291,1,1,1,1,1,1,1,1,1,1,1
C553,84,5,1,1,1,1,1,1,1,1,1,1,1
C554,143,382,1,1,1,1,1,1,1,1,1,1,1
C555,133,60,1,1,1,1,1,1,1,1,1,1,1
C556,25,32,1,1,1,1,1,1,1,1,1,1,1
C558,53,23,1,1,1,1,1,1,1,1,1,1,1
C559,95,293,1,1,1,1,1,1,1,1,1,1,1
C560,84,86,1,1,1,1,1,1,1,1,1,1,1
C561,39,30,1,1,1,1,1,1,1,1,1,1,1
C562,72,92,1,1,1,1,1,1,1,1,1,1,1
C563,21,32,1,1,1,1,1,1,1,1,1,1,1
C564,60,63,1,1,1,1,1,1,1,1,1,1,1
